帧号,右踝,左踝,右膝,左膝,骨盆,躯干
54,11.26416580335604,13.223322326134465,5.699961330585374,16.161057285374966,-43.48399506838837,45.82943804663441
55,10.802713262346296,13.321748675307369,5.755365049752676,21.387368182952343,-43.43903230279478,45.9301221969682
56,10.1651857673378,12.938301306488098,5.863042704141367,26.69545658891954,-43.42511411948265,46.01751440624192
57,9.477708831818903,12.125025140376168,5.948079755288788,31.49323319548806,-43.439631611168615,46.07015191529274
58,8.930942041566402,11.048740064523662,5.923105848096107,35.29689096489628,-43.47751191799972,46.08115408773443
59,8.65368036011628,9.889203834609024,5.714359235144386,37.8501089284771,-43.527210050440296,46.05590586380031
60,8.623621110269704,8.798777542151885,5.300833641537064,39.12238666595948,-43.56457243399851,46.00904444961407
61,8.708720417209204,7.889348707541293,4.742376670924199,39.25718763416657,-43.54620185077811,45.96663176090431
62,8.787761227733597,7.1665571944601485,4.155838100972837,38.51216215997689,-43.406246042125,45.97328945538666
63,8.873138231564159,6.471279816918365,3.6379410218388712,37.10889017377166,-43.06364913919667,46.09828385877458
64,9.111427812626935,5.546339708792026,3.2095539652168825,35.09387273019907,-42.45128932427028,46.42941900009302
65,9.633395827594454,4.216737282572749,2.8335520115541706,32.430807883925034,-41.58052412919129,47.04246211182277
66,10.424989481967048,2.5072815494351017,2.4757656978025597,29.185787156739607,-40.59791303748644,47.93388253088658
67,11.37037141671109,0.5820835709037148,2.151003967679458,25.57353494854633,-39.7256681524278,48.96086306613672
68,12.380918730234654,-1.3660994310596175,1.9057799252806045,21.890083312594754,-39.11282109728041,49.902027940279694
69,13.429690457241607,-3.1444515796336723,1.7514063422429875,18.39515646090084,-38.771237519116816,50.6150648532724
70,14.486180903167345,-4.557218215300907,1.637708234447271,15.229348390618792,-38.62924638017715,51.09892419063392
71,15.453844751735929,-5.4670636968196895,1.508218130670271,12.443383543904735,-38.59730734896104,51.41694185010572
72,16.199076726930628,-5.893489671479932,1.3780997764940857,10.067068993793876,-38.60094880832035,51.6197381016507
73,16.667260696212065,-6.018419767484695,1.3314718267091938,8.159998871746772,-38.59296782073886,51.73594724129831
74,16.931813546756068,-6.093753175486077,1.4103130196527054,6.832527096007017,-38.556950359422,51.79040545854565
75,17.135001765016582,-6.376368621196377,1.5527119162241776,6.190275088328985,-38.50918084708199,51.81032361134545
76,17.42772305566583,-7.04612303002866,1.6805318282486388,6.245449709721582,-38.483731471638606,51.81971325034844
77,17.89179170909189,-8.038914636867602,1.7751986933112638,6.887951555302838,-38.48501993498837,51.83521223719741
78,18.45316120953679,-9.052866230616369,1.848919790774544,7.913942951672213,-38.45981804905346,51.86370243164471
79,18.929455554412613,-9.83251254327402,1.9395029983624457,9.08822857519403,-38.33853569612377,51.90294566160439
80,19.180411142152472,-10.338191614821474,2.168148681793538,10.239328067251767,-38.09771922294696,51.95299410486331
81,19.17230665095329,-10.609199965297028,2.7613248537807387,11.326323276359684,-37.7835094982736,52.02081753768299
82,18.926051310177726,-10.613497262201202,3.983204287085274,12.412342867900785,-37.480669459083536,52.10323979173667
83,18.445581634840416,-10.264315087740703,6.020124427282878,13.584660357259027,-37.25293009756056,52.1804294176855
84,17.651095687111628,-9.48691149384608,8.923315554122299,14.889473867698346,-37.11434121709735,52.23526045239092
85,16.33296263867274,-8.270811209778863,12.646476626484036,16.283670745322734,-37.04555550190461,52.26818525108793
86,14.21116307493616,-6.728739944252324,17.09559129238279,17.598457265355762,-37.01856384241879,52.29438069600947
87,11.080517569089324,-5.0983565955657815,22.156685713447278,18.56616126502544,-37.01129657503401,52.33371392300293
88,6.973912187953236,-3.6414680048590737,27.72336510353988,18.93687745947998,-37.014329993817,52.40068784924145
89,2.3704446339444267,-2.5222272977887035,33.66989699584161,18.59672458924365,-37.0329990384846,52.49671960580554
90,-1.8181544349421093,-1.764506694463106,39.77532462132633,17.60511889631585,-37.08639186173924,52.60555963419374
91,-4.766989921899522,-1.2909291485088474,45.71862061302394,16.16015440258873,-37.2023740447509,52.69876550544481
92,-6.207492721101985,-0.9754079783939552,51.14707349892549,14.530563713665234,-37.40571476913277,52.75178091305584
93,-6.289912565976277,-0.7031469122831961,55.74250932241491,12.98754931463856,-37.69544751357008,52.75316915392604
94,-5.24238887043057,-0.4419433721251347,59.2828419108459,11.70888458207786,-38.02655123830667,52.70050703290581
95,-3.2813864612288666,-0.2447414811913495,61.69390498097778,10.656942772559953,-38.33265386644985,52.59581057037445
96,-0.7163045836911448,-0.1762868161815115,63.036810309430926,9.561290790346884,-38.57823814230435,52.44696707990025
97,1.9952044343352284,-0.2169539970636822,63.40381823580646,8.10728484274697,-38.77856543265389,52.26778392734991
98,4.420618796009433,-0.190334082694584,62.838783792208815,6.234177055496343,-38.97715325808682,52.07309344754671
99,6.343931657590185,0.1570806782865998,61.38085441231723,4.263269916568472,-39.21671324872128,51.87629197355348
100,7.687977018898397,0.9405938293761938,59.10180940093026,2.688810895143244,-39.51206772620323,51.688156517494704
101,8.342235484148315,2.072642701813006,56.044352956775,1.821459070612243,-39.8298406028811,51.51505950199152
102,8.162844572129904,3.4078566654857383,52.18410149113831,1.613603172706383,-40.10658240405037,51.363263125339
103,7.068046464031905,4.806932516020096,47.48827817778472,1.755266680523051,-40.29788558499015,51.24025407347081
104,5.091146430215463,6.123640212873573,41.98267530098341,1.875594649398888,-40.40071912394703,51.14728332815852
105,2.4370600414175083,7.313210202210152,35.78219841057446,1.7280936042419928,-40.43697577122151,51.07891724708638
106,-0.4820574727774273,8.47952531536705,29.122966255883156,1.2925133432958384,-40.433405345640445,51.028672512956376
107,-3.148478522547405,9.742208850877706,22.36892952083351,0.7057612613625417,-40.41243563984844,50.98582830389424
108,-5.140637852686055,11.14486273809477,15.97038127482942,0.1262221502097619,-40.38912092603146,50.93598223728253
109,-6.267823771957233,12.664238869569765,10.417295437097552,-0.3204158245396413,-40.37095755445686,50.87644264499228
110,-6.5544251307358685,14.23849497486866,6.1669048810532985,-0.5632731152091808,-40.359631330741095,50.82044183745097
111,-6.203458957047372,15.821748561310006,3.5205941251939548,-0.5897040488367614,-40.35364636154886,50.78090604741725
112,-5.603577468204168,17.402681944501634,2.525647556696944,-0.3875274800545971,-40.35045450599345,50.76004189088936
113,-5.188905563011402,18.92077989106024,2.967271141666836,0.1166928518005608,-40.34773561035485,50.75204259517717
114,-5.161430478038667,20.213201080572787,4.450967469743106,1.052225082589315,-40.34407525950356,50.7462379121241
115,-5.416018377507669,21.079020437756267,6.532548927007796,2.539874085919431,-40.33912015057577,50.72788308669152
116,-5.745536810611227,21.30840800078855,8.818427250445733,4.643926069361596,-40.333267292605576,50.67945031365439
117,-6.021702511759703,20.628308025154805,11.000719319879886,7.390552638426561,-40.32715629643037,50.58362324580308
118,-6.186638471867777,18.72540122829438,12.853578851536334,10.810684672969977,-40.3212088285964,50.43132403338279
119,-6.18150929876698,15.371961721779126,14.217622412706488,14.91798257121412,-40.315322584042654,50.23368248952784
120,-5.93383537688046,10.546352447909891,15.013821077576814,19.624554616819985,-40.308941717776655,50.02187055164279
